Player ID,Date,Team,Opponent,Minutes Played,Predicted Minutes Played (Linear Model),Predicted Minutes Played (Random Forest),Points,Predicted Points (Linear Model),Predicted Points (Random Forest),Assists,Predicted Assists (Linear Model),Predicted Assists (Random Forest),Rebounds,Predicted Rebounds (Linear Model),Predicted Rebounds (Random Forest)
achiupr01,2023-10-25,TOR,MIN,1457.0,1573.0587253423835,1484.32,8.0,10.079068553700763,9.510492389515134,0.0,1.342978044558522,1.267218533539001,8.0,7.442370114507071,7.022534270588491
achiupr01,2023-10-27,TOR,CHI,1358.0,1662.6691108300283,1538.84,8.0,10.65322971113431,9.85981871071027,1.0,1.4194817238780204,1.3137642611776141,9.0,7.866329909623778,7.280476337280635
achiupr01,2023-10-28,TOR,PHI,1095.0,1282.705606394127,1247.79,6.0,8.218687282795987,7.994972309685977,3.0,1.095092916282891,1.0652841799373653,7.0,6.06866718765411,5.9034763645963215
achiupr01,2023-11-11,TOR,BOS,1111.0,1239.7989560352191,1247.48,2.0,7.9437712460263015,7.992986044836922,5.0,1.0584619320295723,1.0650195215447027,5.0,5.865669570845343,5.902009709411535
achiupr01,2023-11-13,TOR,WAS,1156.0,1177.7806927041065,1126.86,10.0,7.546401257464878,7.220136799375487,1.0,1.0055146614200756,0.9620417946963987,4.0,5.572252127406516,5.331338908156829
achiupr01,2023-11-15,TOR,MIL,1039.0,1111.8796815081266,1038.6,11.0,7.124153315349487,6.654627974931563,0.0,0.94925254626532,0.8866909890950782,4.0,5.26046483787986,4.913767983610815
achiupr01,2023-11-17,TOR,BOS,1466.0,1360.885682875024,1254.09,5.0,8.7196109531523,8.035338337263552,1.0,1.1618381207334738,1.0706627214656717,9.0,6.438548524808044,5.933282582867791
achiupr01,2023-11-19,TOR,DET,1117.0,1112.161376188139,1183.55,12.0,7.1259582193529525,7.583366974514011,5.0,0.9494930393660739,1.0104401310836508,6.0,5.261797576470077,5.599547561142481
achiupr01,2023-11-21,TOR,ORL,898.0,1185.2357842148658,1171.0,5.0,7.594168309769109,7.502955284657097,4.0,1.0118793470213365,0.9997257348645644,6.0,5.607523251978495,5.540171681887411
achiupr01,2023-11-24,TOR,CHI,1055.0,1109.1802668348403,1081.68,8.0,7.106857339612155,6.930654715890597,4.0,0.9469479567538295,0.9234699683076875,7.0,5.247693513600943,5.117585742838578
achiupr01,2023-11-26,TOR,CLE,771.0,816.8078645703158,986.0,4.0,5.233537902670649,6.31760368118864,1.0,0.6973388921013788,0.8417844360174727,2.0,3.8644370630532805,4.664909716772833
achiupr01,2023-11-28,TOR,BRK,577.0,807.1231296515207,784.4,1.0,5.171484842858969,5.025890798706257,1.0,0.6890706779821124,0.6696711071116689,3.0,3.818617170530911,3.7111107320858117
achiupr01,2023-11-29,TOR,PHO,1097.0,930.4168800927683,739.23,14.0,5.961465625470713,4.736472788281013,1.0,0.7943310838438412,0.6311078180904628,10.0,4.401937874842007,3.4974048782251335
achiupr01,2023-12-01,TOR,NYK,1036.0,749.2527486281492,1133.95,8.0,4.800691605348785,7.265564598665171,1.0,0.639664606935586,0.9680947882576199,6.0,3.5448239628744487,5.364882731576627
achiupr01,2023-12-06,TOR,MIA,805.0,1073.023069428817,1125.07,9.0,6.875187113005911,7.208667721698684,2.0,0.9160792285323267,0.9605136059129593,3.0,5.076628542494826,5.322870157251127
achiupr01,2023-12-08,TOR,CHO,1296.0,1211.975255873019,1185.21,17.0,7.76549628601717,7.594003102415404,1.0,1.0347078166655188,1.011857334089522,10.0,5.7340315898684455,5.607401263099725
achiupr01,2023-12-11,TOR,NYK,1252.0,1052.0173432563213,1131.4,9.0,6.740596998408143,7.2492259684552005,3.0,0.898145868127406,0.9659177595437816,5.0,4.977247390233219,5.352818309895318
achiupr01,2023-12-13,TOR,ATL,1023.0,1283.892289910862,1217.8,7.0,8.226290727170968,7.802817203804793,1.0,1.0961060316123696,1.039680614789126,7.0,6.074281560339658,5.761589303332612
achiupr01,2023-12-15,TOR,ATL,1040.0,1252.7784112506886,1127.7,9.0,8.026934586846862,7.225518936385831,5.0,1.0695429699488097,0.9627589335668397,2.0,5.927077265321064,5.335313070593027
achiupr01,2023-12-18,TOR,CHO,1066.0,1135.0762442785356,1118.06,12.0,7.272780790348735,7.163752506886177,1.0,0.969056304388274,0.9545289112917804,7.0,5.370211157416789,5.289704825491921
achiupr01,2023-12-20,TOR,DEN,1474.0,1354.2322273666816,1274.62,13.0,8.676980227987869,8.166880328718726,1.0,1.1561578212480201,1.088189936953946,5.0,6.40707005700786,6.030413005266722
achiupr01,2023-12-22,TOR,PHI,985.0,1092.8446746468549,1138.67,4.0,7.0021902023492615,7.295807082818529,1.0,0.9330016613613602,0.972124425720097,6.0,5.17040744592653,5.387213739551442
achiupr01,2023-12-23,TOR,UTA,1281.0,1463.173102294811,1241.18,8.0,9.374997745713896,7.952620017259347,1.0,1.2491646498084923,1.0596409800163964,2.0,6.922485215228919,5.872203491140066
achiupr01,2023-12-27,TOR,WAS,633.0,760.5640289615394,1005.82,3.0,4.873166439297246,6.444596485408883,0.0,0.6493214626516899,0.8587054984128747,1.0,3.5983392788342594,4.7586810256840275
achiupr01,2023-12-29,TOR,BOS,123.0,538.512252400945,623.37,0.0,3.4504127668695705,3.994122319211524,0.0,0.4597477004825846,0.5321938781746571,2.0,2.5477799582417777,2.9492543307755383
achiupr01,2024-01-01,NYK,MIN,514.0,533.1402659525852,493.87,0.0,3.415992806056737,3.1643761967836044,0.0,0.45516143822829846,0.42163496898169295,3.0,2.5223643073479383,2.336570955195334
achiupr01,2024-01-03,NYK,CHI,685.0,366.0424160947456,462.73,4.0,2.3453457559749986,2.964852689043022,1.0,0.31250386287098225,0.39504960657035004,3.0,1.731800023926352,2.189243076310642
achiupr01,2024-01-05,NYK,PHI,752.0,717.1212753330952,664.19,5.0,4.594815424850968,4.255668548690348,0.0,0.6122327873350916,0.5670434123310804,3.0,3.3928052793163106,3.142379700591631
achiupr01,2024-01-06,NYK,WAS,462.0,686.994933030888,657.72,2.0,4.401786732123612,4.214213279098775,0.0,0.5865128217528067,0.5615197355551848,0.0,3.2502731627479626,3.1117691875414075
achiupr01,2024-01-09,NYK,POR,1208.0,1063.0127919521503,754.03,2.0,6.811048202421419,4.831300916558489,1.0,0.9075330867675455,0.6437431219982301,9.0,5.029268460680937,3.5674258354342996
achiupr01,2024-01-11,NYK,DAL,947.0,768.7101190801246,1042.9,7.0,4.925360931102995,6.6821793905797495,0.0,0.6562760791590131,0.890362057122335,6.0,3.636879618538007,4.934111910367533
achiupr01,2024-01-13,NYK,MEM,353.0,825.0114075294929,1074.67,0.0,5.2861005124046105,6.885739501078089,0.0,0.7043425582101374,0.9174852736865086,1.0,3.9032492205200437,5.084420411079372
achiupr01,2024-01-15,NYK,ORL,1170.0,1040.7018764215386,1053.16,6.0,6.668095340264339,6.747918349777514,1.0,0.8884854382412073,0.8991213961827197,5.0,4.923712267325107,4.9826534658382124
achiupr01,2024-01-17,NYK,HOU,386.0,283.33867327481494,527.03,0.0,1.8154375713023085,3.376842462572869,0.0,0.2418966382196542,0.44994487962909596,4.0,1.3405165619647132,2.493455748509925
achiupr01,2024-01-18,NYK,WAS,568.0,969.0686868277814,529.47,2.0,6.209119577310176,3.3924762891267237,0.0,0.8273295517277047,0.45202799730037657,1.0,4.584805206291286,2.504999744157923
achiupr01,2024-01-20,NYK,TOR,1496.0,1044.6595372883444,565.68,18.0,6.693453284342461,3.6244848381083057,0.0,0.8918642387693133,0.4829418050368802,11.0,4.9424365377442285,2.676314532032511
achiupr01,2024-01-23,NYK,BRK,1287.0,886.4618182795497,1152.68,6.0,5.6798320957363675,7.385573439383896,2.0,0.7568050322023063,0.9840852775949498,9.0,4.193980070629193,5.453497091612282
achiupr01,2024-01-25,NYK,DEN,1352.0,1590.8404528261792,1470.89,2.0,10.193001522270256,9.424442270409289,3.0,1.3581589587992557,1.2557528489794527,10.0,7.526498059050849,6.95899498306693
achiupr01,2024-01-27,NYK,MIA,1872.0,1718.4154733864364,1491.23,4.0,11.010413712451998,9.554766873731172,1.0,1.4670744423005067,1.2731178544851276,10.0,8.130074076321678,7.055226487771959
achiupr01,2024-01-29,NYK,CHO,1957.0,1780.89538978416,1817.43,9.0,11.410741653460738,11.644830079414474,0.0,1.5204158430989618,1.551606782506324,5.0,8.425675667707981,8.598526233828043
achiupr01,2024-01-30,NYK,UTA,2415.0,2303.5737682890485,1872.46,18.0,14.759701945671887,11.997424126651604,1.0,1.9666455835333072,1.5985879158877048,5.0,10.898543260643603,8.858881184856449
achiupr01,2024-02-01,NYK,IND,2590.0,2426.986122984633,1849.05,12.0,15.55044266202988,11.847429094018109,0.0,2.072007246205732,1.5786019385579186,16.0,11.482425098969411,8.748125062676275
achiupr01,2024-02-03,NYK,LAL,2548.0,2600.715618680624,1959.9,10.0,16.66358069604615,12.557678960204479,0.0,2.2203265013315434,1.6732386573535951,8.0,12.30436466546259,9.272572569881415
achiupr01,2024-02-06,NYK,MEM,2418.0,2587.700402424356,1964.67,17.0,16.580188223295576,12.58824180965607,3.0,2.209214932897539,1.6773109816535985,5.0,12.242787780290415,9.2951401351441
achiupr01,2024-02-08,NYK,DAL,2485.0,2534.0172889669975,1979.79,13.0,16.236224090236878,12.68512027584225,3.0,2.163383686056399,1.6902194813215337,16.0,11.988805145813894,9.366675058995625
achiupr01,2024-02-10,NYK,IND,2589.0,2489.6586613946,1985.74,15.0,15.9520047912066,12.72324374633218,0.0,2.1255130954949992,1.6952992149871564,6.0,11.778938013171718,9.394825376252014
achiupr01,2024-02-12,NYK,HOU,2320.0,2346.835322316855,1979.73,8.0,15.036891958836199,12.684735837484368,0.0,2.003579562091661,1.6901682571165022,17.0,11.103219978439757,9.366391190250184
achiupr01,2024-02-14,NYK,ORL,2601.0,2511.589108624192,1976.4,23.0,16.09251987654918,12.663399508621936,5.0,2.144235924250347,1.6873253137372546,14.0,11.882694155539362,9.35063647487812
achiupr01,2024-02-22,NYK,PHI,2293.0,2174.239721599888,1972.16,18.0,13.93101913688237,12.636232531331633,2.0,1.8562283547806782,1.6837054699150293,11.0,10.2866450343659,9.330576416866847
achiupr01,2024-02-24,NYK,BOS,2062.0,2196.6191658185176,1967.3,8.0,14.07441108331094,12.605093024343216,1.0,1.8753345087664424,1.6795563093074786,9.0,10.392525446933304,9.307583048485998
achiupr01,2024-02-26,NYK,DET,2014.0,1995.9797510049493,1940.97,4.0,12.788852964023178,12.436388658292815,1.0,1.704041266736305,1.6570774206661603,11.0,9.443271130775667,9.183011980694285
achiupr01,2024-02-27,NYK,NOP,2383.0,2068.372574934675,1961.2,15.0,13.252695936589177,12.566008457958581,2.0,1.7658456809993845,1.6743485151292774,7.0,9.785772132575264,9.278723059366005
achiupr01,2024-02-29,NYK,GSW,1542.0,1582.353129335707,1685.81,3.0,10.138620643845464,10.8015004683414,1.0,1.350913018821847,1.439237951402247,8.0,7.4863432945274235,7.975812829242201
achiupr01,2024-03-03,NYK,CLE,1292.0,1586.394302161562,1757.06,14.0,10.164513674596925,11.258021018325874,0.0,1.3543631165785017,1.5000666948771404,4.0,7.505462672197291,8.312906964455248
achiupr01,2024-03-05,NYK,ATL,1423.0,1405.7002696128532,1592.23,15.0,9.006751722062905,10.201904776165303,2.0,1.200097980391141,1.3593452662881345,6.0,6.650572866721288,7.533072209266945
achiupr01,2024-03-08,NYK,ORL,2365.0,1779.3184283914345,1958.41,15.0,11.400637579323035,12.548132074317085,4.0,1.519069533203833,1.671966589595313,14.0,8.418214833505242,9.265523162702925
achiupr01,2024-03-10,NYK,PHI,2165.0,1820.8708823582017,2063.22,8.0,11.66687686547199,13.219681812476699,0.0,1.554544390229753,1.7614467384178192,9.0,8.614805549798678,9.761394549533513
achiupr01,2024-03-12,NYK,PHI,1437.0,2000.1778273722007,2060.14,13.0,12.815751323771309,13.19994731010544,1.0,1.7076253188125372,1.7588172292262028,8.0,9.46313284196973,9.746822620600796
achiupr01,2024-03-14,NYK,POR,1444.0,1844.305272895074,1786.43,4.0,11.81702817573787,11.446203594508948,2.0,1.5745511906572323,1.5251409432400544,7.0,8.725677067163897,8.451860715349383
achiupr01,2024-03-16,NYK,SAC,1211.0,1268.0706574740352,1442.74,2.0,8.124916687287286,9.244076607503143,4.0,1.082598522547755,1.231720159452179,5.0,5.999427111161402,6.825813229996792
achiupr01,2024-03-18,NYK,GSW,1094.0,1176.7541580159184,1191.08,6.0,7.539823935634285,7.6316139884281595,1.0,1.0046382710310808,1.0168687688151028,9.0,5.567395442171695,5.635173088695523
achiupr01,2024-03-21,NYK,DEN,1523.0,1280.6738062611487,1306.1,9.0,8.20566891768489,8.368582320487304,3.0,1.0933582938396462,1.1150655698604675,5.0,6.059054445075133,6.179349473708922
achiupr01,2024-03-23,NYK,BRK,449.0,589.713675823036,1031.98,0.0,3.7784759525627756,6.6122116094452865,1.0,0.503460237337206,0.8810392518066039,3.0,2.7900213554368207,4.882447798696986
achiupr01,2024-03-25,NYK,DET,1550.0,1386.0014226659346,1299.58,9.0,8.880535182522312,8.326806685597498,1.0,1.1832803508095928,1.1094992062470457,16.0,6.557374750563173,6.14850240337083
achiupr01,2024-03-27,NYK,TOR,1648.0,760.0172438657418,1238.16,19.0,4.869663019891536,7.93326995324597,3.0,0.6488546521207682,1.0570626950298114,12.0,3.5957523588480798,5.85791543095279
achiupr01,2024-03-29,NYK,SAS,941.0,1149.5779777685239,1417.62,6.0,7.365697833837545,9.083125081670019,0.0,0.9814369672149935,1.2102742922789955,5.0,5.438820972292547,6.706966848571504
achiupr01,2024-03-31,NYK,OKC,1317.0,1482.7847107258324,1350.2,8.0,9.500655321391228,8.651144513530326,0.0,1.2659078006629576,1.1527153605586122,9.0,7.0152705932526676,6.387993001609209
achiupr01,2024-04-02,NYK,MIA,1616.0,1171.9660095300153,1302.91,2.0,7.509144803280716,8.34814301445993,0.0,1.0005504527016957,1.1123421496262935,6.0,5.544742013776928,6.164257118742893
achiupr01,2024-04-04,NYK,SAC,529.0,782.9166508622461,1157.16,0.0,5.016386526928202,7.414278170105727,0.0,0.6684047174389092,0.987910018237301,3.0,3.70409279110602,5.474692624605327
achiupr01,2024-04-05,NYK,CHI,1114.0,1312.6266755605493,1199.68,0.0,8.410400727736038,7.6867168197245315,1.0,1.1206376326452607,1.0242109048696162,4.0,6.210228127096985,5.675860942208958
achiupr01,2024-04-07,NYK,MIL,297.0,232.12733548101903,525.75,0.0,1.4873108611961423,3.3686411109380603,0.0,0.19817563710154998,0.4488520965884242,0.0,1.0982282584320415,2.4873998819404837
achiupr01,2024-04-11,NYK,BOS,962.0,956.8610989358958,1004.29,2.0,6.1309018265959665,6.4347933072828996,0.0,0.8169074853091401,0.8573992811845716,5.0,4.527049328628794,4.751442372675242
achiupr01,2024-04-12,NYK,BRK,454.0,399.96852059772857,363.19,5.0,2.5627206877158057,2.327069453317345,0.0,0.3414678250873244,0.31006865042310944,3.0,1.8923093693099382,1.7183048276214252
achiupr01,2024-04-14,NYK,CHI,1110.0,1003.2329205189176,1050.87,4.0,6.4280202756186045,6.733245619118363,2.0,0.8564968135833458,0.8971663390240177,5.0,4.74644117557311,4.97181914205382
